# VGN-Haltestellen (ZHV/DELFI, gefiltert auf VGN-Bounding-Box)
# Offizielle Quelle zum Aktualisieren: https://www.vgn.de/opendata/GTFS.zip
# Lizenz: CC BY 3.0 DE — VGN – Verkehrsverbund Großraum Nürnberg GmbH
id	name
de:09373:17576	Abzw. Granswang
de:09576:8371	Abzw. Grashof ROTHSEE
de:09575:14311	Abzw. Grieshof
de:09474:9189	Abzw. Großenbuch
de:09576:8516	Abzw. Großhöbing
de:09574:7448	Abzw. Großmeinfeld
de:09373:17236	Abzw. Grubmühle
de:09474:9411	Abzw. Gräfenbergerhüll
de:09373:17456	Abzw. Grögling
de:09574:7442	Abzw. Grünreuth
de:09571:13273	Abzw. Gugelmühle
de:09373:17125	Abzw. Guglhof
de:09371:19328	Abzw. Gumpenhof
de:09574:7649	Abzw. Guntersrieth
de:09571:12618	Abzw. Gunzendorf (b. Geslau)
de:09373:17579	Abzw. Gunzenhof
de:09571:12081	Abzw. Gutenmühle
de:09474:9563	Abzw. Görbitz
de:09571:12919	Abzw. Görchsheim
de:09474:9564	Abzw. Göring
de:09576:8519	Abzw. Günzenhofen
de:09571:13119	Abzw. Haag (b. Neuendettelsau)
de:09373:17735	Abzw. Hackenhofen
de:09373:17418	Abzw. Hacklsberg (Deining)
de:09474:9821	Abzw. Hagenbach
de:09576:8875	Abzw. Hagenich
de:09472:23956	Abzw. Hagenohe (b. Creußen)
de:09371:19030	Abzw. Haghof
de:09375:551	Abzw. Haid
de:09373:17739	Abzw. Haid (b. Parsberg)
de:09472:22657	Abzw. Haidmühle
de:09574:7725	Abzw. Haimendorf
de:09371:18836	Abzw. Hainhof (b. Kastl)
de:09571:12459	Abzw. Halsbach Kreisverkehr
de:09371:18896	Abzw. Hannesreuth
de:09373:17958	Abzw. Harenzhofen
de:09571:13845	Abzw. Harlang
de:09576:8764	Abzw. Harm
de:09576:8375	Abzw. Harrhof (b. Allersberg)
de:09373:17630	Abzw. Hartenhof
de:09575:14159	Abzw. Harthof (b. Burghaslach)
de:09472:22848	Abzw. Haselbrunn
de:09371:18239	Abzw. Haslach (b. Birgland)
de:09373:17961	Abzw. Haumühle
de:09571:12371	Abzw. Haunoldshofen
de:09371:18432	Abzw. Hauseck
de:09576:8522	Abzw. Hausen (b. Greding)
de:09373:17581	Abzw. Hausraitenbuch
de:09576:8386	Abzw. Heblesricht
de:09472:23121	Abzw. Heckenhof
de:09574:7803	Abzw. Hedersdorf
de:09571:13016	Abzw. Heglau
de:09371:19277	Abzw. Heinzhof
de:09571:11944	Abzw. Hellenbach
de:09571:13756	Abzw. Hergersbach
de:09371:18786	Abzw. Hermannsberg/Illschwang
de:09471:21333	Abzw. Heroldsmühle/Heiligens.
de:09571:12373	Abzw. Herpersdorf (b.Dietenh.)
de:09572:6006	Abzw. Herzo Base
de:09474:9738	Abzw. Herzogwind
de:09574:6998	Abzw. Heuchling (b. Lauf)
de:09577:16269	Abzw. Heunischhof
de:09571:12463	Abzw. Hirschbach (b. Dürrw.)
de:09371:18391	Abzw. Hofstetten (b. Ensdorf)
de:09576:8081	Abzw. Hofstetten (b.Roth)
de:09571:12903	Abzw. Hohenmühle (b.Leutersh.)
